sampling_method,model,summary,HARS,Balance,[14]
SMOTEENN,xgboost,mean,0.976068532959123,0.969788750826027,
SMOTEENN,xgboost,median,0.980191834157555,0.964010942208329,
SMOTEENN,xgboost,std,0.0277257455031716,0.0281525467672426,
SMOTEENN,mlp,mean,0.968909552643976,0.962254966542793,
SMOTEENN,mlp,median,0.984600189915431,0.972363023641964,
SMOTEENN,mlp,std,0.036745204588637,0.0343295076774345,
SMOTEENN,knn,mean,0.966515665347075,0.954655287598188,
SMOTEENN,knn,median,0.983264827798716,0.967684408965485,
SMOTEENN,knn,std,0.0372440066228103,0.0495201837836191,
SMOTEENN,dt,mean,0.95892704112714,0.957377794719811,
SMOTEENN,dt,median,0.970520906903148,0.958496344744454,
SMOTEENN,dt,std,0.0376174656133903,0.0386147472291822,
SMOTEENN,rf,mean,0.978778581214538,0.978547025333418,
SMOTEENN,rf,median,0.991995490417136,0.991491610832319,
SMOTEENN,rf,std,0.0246187856494279,0.02410074229326,
SMOTEENN,svmlinear,mean,0.92263796130132,0.914603856558546,
SMOTEENN,svmlinear,median,0.948417954694225,0.935928247198539,
SMOTEENN,svmlinear,std,0.0985553852396732,0.103975220570691,
SMOTEENN,svmrbf,mean,0.944926663994222,0.960290207005956,
SMOTEENN,svmrbf,median,0.98914198936978,0.980156037161918,
SMOTEENN,svmrbf,std,0.0845635226512104,0.0439140392660258,
SMOTEENN,lr,mean,0.913574579900839,0.915676775608438,
SMOTEENN,lr,median,0.933729636794978,0.933046836948861,
SMOTEENN,lr,std,0.0975336765486869,0.101971616367699,
SMOTE,xgboost,mean,0.976068532959123,0.974204863887168,0.977725764570684
SMOTE,xgboost,median,0.980191834157555,0.977292164507396,0.978497902590775
SMOTE,xgboost,std,0.0277257455031716,0.0254505190110209,0.0213252818831024
SMOTE,mlp,mean,0.968909552643976,0.969395712107331,0.96549607165044
SMOTE,mlp,median,0.984600189915431,0.981189642755079,0.97547782323182
SMOTE,mlp,std,0.036745204588637,0.0292391613078302,0.0321106119868097
SMOTE,knn,mean,0.966515665347075,0.963557842483073,0.968436918413362
SMOTE,knn,median,0.983264827798716,0.975879740199529,0.979404911517527
SMOTE,knn,std,0.0372440066228103,0.0422042787097946,0.0357846945556567
