sampling_method,model,summary,HARS,NoSampling,Balance,[14]
SMOTEENN,xgboost,mean,0.515179712498044,0.480354841781338,0.541448308323285,
SMOTEENN,xgboost,median,0.538239449210172,0.515346676665597,0.593018323810984,
SMOTEENN,xgboost,std,0.203898217203601,0.250263744467734,0.185213676340939,
SMOTEENN,mlp,mean,0.489339650764497,0.440461717960469,0.505217033261709,
SMOTEENN,mlp,median,0.517719521533774,0.459417159267484,0.545777412474593,
SMOTEENN,mlp,std,0.179393794648337,0.245467019286614,0.176298878580588,
SMOTEENN,knn,mean,0.452263336049661,0.343859572838809,0.45301864040819,
SMOTEENN,knn,median,0.502254793452718,0.407754266896012,0.496664539354215,
SMOTEENN,knn,std,0.178314286638186,0.276529258700016,0.17935457119809,
SMOTEENN,dt,mean,0.492535274281722,0.474381136602911,0.484514184289115,
SMOTEENN,dt,median,0.52322792298355,0.491009845455803,0.538021718371255,
SMOTEENN,dt,std,0.184379591336719,0.208614987256515,0.211913007595553,
SMOTEENN,rf,mean,0.47031079645319,0.399425886203362,0.515836880053472,
SMOTEENN,rf,median,0.486628165652977,0.451282002032694,0.590817165999077,
SMOTEENN,rf,std,0.216026020539302,0.294340517270588,0.21465370366522,
SMOTEENN,svmlinear,mean,0.432155446505615,0.235119772386355,0.456153010112588,
SMOTEENN,svmlinear,median,0.539051156632983,0.070582074306037,0.511494728319946,
SMOTEENN,svmlinear,std,0.240438422411648,0.281211587761494,0.21977028269125,
SMOTEENN,svmrbf,mean,0.389305482309823,0.24431184167214,0.478605628341707,
SMOTEENN,svmrbf,median,0.475076931775837,0.0630127173160914,0.540606387245281,
SMOTEENN,svmrbf,std,0.228885614087268,0.281559743352674,0.19575864179648,
SMOTEENN,lr,mean,0.453448626340396,0.35319893005705,0.45202709803522,
SMOTEENN,lr,median,0.530335343939563,0.368490537821425,0.517734333811595,
SMOTEENN,lr,std,0.210347155633188,0.254894091989131,0.221676322568299,
SMOTE,xgboost,mean,0.506856158510083,0.480354841781338,0.523575925880059,0.519807522371433
SMOTE,xgboost,median,0.533867027537614,0.515346676665597,0.521114810175817,0.533778810069009
SMOTE,xgboost,std,0.23944783437056,0.250263744467734,0.215845577220259,0.214319450914586
SMOTE,mlp,mean,0.478465255506154,0.440461717960469,0.486937884695883,0.492613372472711
SMOTE,mlp,median,0.511367075895048,0.459417159267484,0.534455914660934,0.524057507067017
SMOTE,mlp,std,0.220478202755501,0.245467019286614,0.216391044713276,0.207231954970817
SMOTE,knn,mean,0.463163877910778,0.343859572838809,0.468594062548991,0.471273888073304
SMOTE,knn,median,0.507085790078897,0.407754266896012,0.52037862581162,0.510898023744135
SMOTE,knn,std,0.185438155695867,0.276529258700016,0.186132400890419,0.187096503129797
SMOTE,dt,mean,0.477934534731552,0.474381136602911,0.469347019965037,0.475517059380038
